in_ptr,in_v1,in_v2,in_v3,in_v4,in_v5,in_v6,in_v7,in_v8,in_v9,in_v10,in_v11,in_v12,in_v13,in_v14,in_v15,in_v16,out_ptr,out_v1,out_v2,out_v3,out_v4,out_v5,out_v6,out_v7,out_v8,out_v9,out_v10,out_v11,out_v12,out_v13,out_v14,out_v15,out_v16
7,94,86,80,78,82,95,44,0,0,0,0,0,0,0,0,0,6,94,86,80,78,82,95,0,0,0,0,0,0,0,0,0,0
7,36,37,91,35,26,52,55,0,0,0,0,0,0,0,0,0,6,36,37,91,35,26,52,0,0,0,0,0,0,0,0,0,0
4,87,99,3,96,0,0,0,0,0,0,0,0,0,0,0,0,3,87,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,84,80,19,38,84,8,11,56,56,23,84,97,20,31,0,0,13,84,80,19,38,84,8,11,56,56,23,84,97,20,0,0,0
9,83,21,24,13,25,19,50,16,49,0,0,0,0,0,0,0,8,83,21,24,13,25,19,50,16,0,0,0,0,0,0,0,0
4,92,59,70,70,0,0,0,0,0,0,0,0,0,0,0,0,3,92,59,70,0,0,0,0,0,0,0,0,0,0,0,0,0
4,71,86,49,12,0,0,0,0,0,0,0,0,0,0,0,0,3,71,86,49,0,0,0,0,0,0,0,0,0,0,0,0,0
2,96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,78,30,89,20,13,93,71,2,13,0,0,0,0,0,0,9,65,78,30,89,20,13,93,71,2,0,0,0,0,0,0,0
5,30,3,28,21,78,0,0,0,0,0,0,0,0,0,0,0,4,30,3,28,21,0,0,0,0,0,0,0,0,0,0,0,0
7,46,96,79,12,47,51,98,0,0,0,0,0,0,0,0,0,6,46,96,79,12,47,51,0,0,0,0,0,0,0,0,0,0
2,67,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
